what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676589977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676590271
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1475676594147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676608850
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676616812
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1475676618164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676622328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1475676626761
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1475676639135
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1475676661822
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1475676671398
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676671409
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676673795
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676673871
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676678441
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676679024
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676679907
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676704367
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676705951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676802667
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676805265
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676883118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676887825
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676887984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676893689
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1475676893717
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1475676893723
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1475676893733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676893733
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1475676894147
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1475676894147
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1475676894147
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676894168
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676896101
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676897446
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676923117
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1475676924257
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1475676925304
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1475676926513
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1475676927518
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1475676927869
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676933855
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676933958
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1475676937824
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1475676939425
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475676941263
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475677100790
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1475677102966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475677104689
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475677104916
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1475677106235
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1475677108303
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475677109735
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475677113279
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1475679605707
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1475679607006
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1475679609661
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475679612742
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1475679622417
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1475679624080
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1475679656680
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1475679656711
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475679656747
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475679658332
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475679920223
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475679920706
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475679942055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475679946534
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475679946834
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1475679949893
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475679959048
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475679964036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475679974446
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1475679976694
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1475679976694
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475679976701
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1475679978241
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1475679978266
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1475679978276
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1475679978845
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475679980067
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1475679989361
